pii(1): 0.9972602739726028
92-th run, acc:0.9999999999999997, len(nr):93, new_val:26300.747867309132
93-th run, acc:0.9999999999999997, len(nr):94, new_val:26510.719959577236
94-th run, acc:0.9999999999999998, len(nr):95, new_val:26719.344103823398
95-th run, acc:0.9999999999999994, len(nr):96, new_val:26926.62610999293
96-th run, acc:0.9999999999999997, len(nr):97, new_val:27132.571766313653
97-th run, acc:0.9999999999999998, len(nr):98, new_val:27337.186839371294
98-th run, acc:0.9999999999999996, len(nr):99, new_val:27540.477074184615
99-th run, acc:0.9999999999999997, len(nr):100, new_val:27742.448194280343
100-th run, acc:0.9999999999999998, len(nr):101, new_val:27943.10590176774
101-th run, acc:0.9999999999999997, len(nr):102, new_val:28142.45587741306
102-th run, acc:0.9999999999999998, len(nr):103, new_val:28340.50378071369
103-th run, acc:0.9999999999999997, len(nr):104, new_val:28537.255249971997
104-th run, acc:0.9999999999999998, len(nr):105, new_val:28732.715902369073
105-th run, acc:0.9999999999999997, len(nr):106, new_val:28926.89133403805
106-th run, acc:0.9999999999999993, len(nr):107, new_val:29119.787120137345
107-th run, acc:0.9999999999999997, len(nr):108, new_val:29311.40881492356
108-th run, acc:0.9999999999999998, len(nr):109, new_val:29501.761951824123
109-th run, acc:0.9999999999999998, len(nr):110, new_val:29690.852043509814
110-th run, acc:0.9999999999999998, len(nr):111, new_val:29878.684581966892
111-th run, acc:0.9999999999999998, len(nr):112, new_val:30065.26503856907
112-th run, acc:0.9999999999999999, len(nr):113, new_val:30250.5988641493
113-th run, acc:0.9999999999999997, len(nr):114, new_val:30434.691489071138
114-th run, acc:0.9999999999999996, len(nr):115, new_val:30617.54832330013
115-th run, acc:0.9999999999999994, len(nr):116, new_val:30799.174756474673
116-th run, acc:0.9999999999999998, len(nr):117, new_val:30979.576157976917
117-th run, acc:0.9999999999999996, len(nr):118, new_val:31158.75787700328
118-th run, acc:0.9999999999999998, len(nr):119, new_val:31336.72524263464
119-th run, acc:0.9999999999999998, len(nr):120, new_val:31513.483563906553
120-th run, acc:0.9999999999999998, len(nr):121, new_val:31689.038129879
121-th run, acc:0.9999999999999994, len(nr):122, new_val:31863.394209706024
122-th run, acc:0.9999999999999997, len(nr):123, new_val:32036.557052705106
123-th run, acc:0.9999999999999998, len(nr):124, new_val:32208.53188842628
124-th run, acc:0.9999999999999998, len(nr):125, new_val:32379.323926721063
125-th run, acc:0.9999999999999998, len(nr):126, new_val:32548.938357811177
126-th run, acc:0.9999999999999997, len(nr):127, new_val:32717.38035235693
127-th run, acc:0.9999999999999999, len(nr):128, new_val:32884.655061525475
128-th run, acc:0.9999999999999997, len(nr):129, new_val:33050.767617058875
129-th run, acc:0.9999999999999998, len(nr):130, new_val:33215.72313134174
130-th run, acc:0.9999999999999997, len(nr):131, new_val:33379.5266974689
131-th run, acc:0.9999999999999998, len(nr):132, new_val:33542.183389312704
132-th run, acc:0.9999999999999997, len(nr):133, new_val:33703.69826159
133-th run, acc:0.9999999999999997, len(nr):134, new_val:33864.07634992921
134-th run, acc:0.9999999999999994, len(nr):135, new_val:34023.32267093686
135-th run, acc:1.0, len(nr):136, new_val:34181.442222263984
136-th run, acc:0.9999999999999996, len(nr):137, new_val:34338.43998267244
137-th run, acc:0.9999999999999996, len(nr):138, new_val:34494.32091210083
138-th run, acc:0.9999999999999998, len(nr):139, new_val:34649.08995173028
139-th run, acc:0.9999999999999994, len(nr):140, new_val:34802.75202404997
140-th run, acc:1.0, len(nr):141, new_val:34955.31203292251
141-th run, acc:1.0, len(nr):142, new_val:35106.77486364904
